,amount_of_loan,interest_rate,time_to_repay,simple_interest,cibil_score,past_debt_to_repay,profit_percentage_last_year,competition_scale,sustainability,startup,management_effectivity,Total_Revenue
873,2313868,6,5,0,580,2467657,15,4,1,1,1,7293065
874,5341763,6,1,1,417,1533938,41,5,1,0,1,9568840
875,1015111,10,8,0,820,3659096,0,3,1,0,1,9480875
876,1276539,7,1,0,464,1686105,25,5,0,0,1,6380200
877,1863999,9,8,0,638,2703061,16,5,1,1,1,7280290
878,9283324,8,1,1,561,2884848,16,3,0,0,1,10895250
879,7803006,8,9,1,753,3774725,30,4,1,0,1,12687400
880,9665850,7,4,0,540,1698657,36,10,0,1,1,6497730
881,3809718,9,7,1,871,851727,30,10,0,0,1,14220035
882,9235576,14,5,1,839,423572,42,8,0,1,0,8638820
883,8398323,13,1,1,815,1955554,42,9,1,0,1,10239710
884,1412339,6,7,0,555,3776012,18,2,1,0,1,8444275
885,2507705,8,8,0,333,4936276,0,1,1,1,0,7183930
886,5698442,8,3,1,608,3799508,29,10,0,1,1,12652725
887,7556358,13,3,0,660,2485840,33,6,0,0,0,9199460
888,1659600,7,6,1,760,4166992,19,4,0,1,1,8490630
889,6472402,10,3,1,317,919511,23,8,1,1,0,8520195
890,6706799,14,7,1,845,4584491,28,5,0,1,1,11804830
891,8557655,7,5,1,807,4244823,7,3,0,0,0,6219600
892,6728194,11,6,0,360,1018809,2,7,0,1,0,10869335
893,1395881,8,3,1,870,63128,32,9,0,1,0,7229555
894,9857897,9,4,0,428,681908,22,3,1,0,1,12684845
895,4434979,11,5,0,887,3015029,34,6,0,1,1,5730500
896,6895531,8,7,0,581,2608800,25,1,1,0,0,7479945
897,2729745,6,2,1,426,613235,43,2,1,0,0,12322765
898,9779428,8,1,0,402,1053942,19,9,0,1,0,5435580
899,3149521,9,1,0,683,32618,0,6,1,1,0,8906365
900,548601,9,1,0,660,1519268,30,3,1,1,0,9055650
901,2838726,10,4,1,742,2855408,26,6,1,0,1,9231945
902,971500,12,1,0,359,565881,21,7,0,0,0,8885195
903,7360048,8,1,0,591,1314167,39,1,0,0,0,7690550
904,9399706,11,9,1,674,482931,20,5,1,0,1,9114415
905,7411610,7,1,1,732,2687736,10,3,0,0,1,7624120
906,4745636,8,6,1,775,3485860,34,6,0,1,0,10046990
907,3592335,13,7,0,573,297328,3,8,0,1,1,5143580
908,7075317,11,9,1,411,3638061,30,8,1,0,1,5885625
909,651904,7,9,1,744,1911830,1,7,0,1,1,6317420
910,1284659,14,3,1,589,4731169,11,9,1,0,0,6661250
911,2354830,14,6,1,590,3121482,33,1,0,0,1,7957000
912,7533376,12,7,0,644,3391628,38,9,1,0,0,8130010
913,1692965,9,1,1,765,2889642,46,1,0,0,0,5665165
914,4434176,14,4,0,340,851434,48,1,1,1,1,9102005
915,5348988,13,6,1,814,1489579,20,7,1,1,0,11716135
916,3783366,9,5,1,877,1940012,1,6,1,1,1,12682290
917,2613004,6,7,1,683,2869261,4,3,0,0,1,9917415
918,9086631,6,7,1,340,278814,42,5,1,0,1,7182105
919,4330462,10,5,1,346,3399642,9,6,1,1,1,7490895
920,3422315,13,1,1,662,2953672,26,10,1,1,0,11452970
921,2906199,14,5,1,581,1840614,21,2,0,0,1,8184760
922,2010299,13,4,0,347,1394669,36,3,0,1,0,8189505
923,4244851,14,8,0,766,1550595,5,8,1,1,0,11604810
924,4806271,14,8,1,797,4337833,43,3,0,0,1,8500120
925,4640677,12,2,1,548,1979713,15,10,1,0,1,10484260
926,5114530,12,5,1,622,3414903,22,5,1,1,0,10568210
927,9359757,6,5,1,535,1451339,35,4,1,0,1,6502110
928,9194220,7,1,0,408,1211694,45,1,0,1,1,4660320
929,9231861,8,9,1,844,3322395,49,6,0,1,1,9231215
930,8709562,9,9,1,513,4207474,12,7,1,1,0,9627605
931,6066552,9,2,0,377,3598997,33,10,0,1,0,7674125
932,1212779,6,1,1,511,4467747,5,10,1,0,0,11427420
933,3735104,12,4,0,341,1782507,41,4,1,0,0,10002095
934,796561,12,3,0,451,1248053,16,4,1,1,1,5992205
935,3469762,11,4,0,379,3860105,27,7,0,0,0,9681990
936,6771842,14,6,1,588,2675294,40,1,1,0,1,6613800
937,9570843,11,1,0,570,2326564,2,3,1,1,0,5282645
938,3672162,11,7,0,640,1483428,5,3,1,0,1,8434055
939,1179855,11,5,1,801,2847162,13,10,1,0,1,8591370
940,715970,6,4,0,706,4869942,24,9,1,0,1,9712650
941,9315291,9,9,1,367,1539673,43,3,1,0,1,13461930
942,840636,10,8,0,349,2345616,21,9,1,1,0,9281220
943,7840537,11,3,1,473,1109241,1,8,1,0,1,6407940
944,5214335,13,6,1,644,4369848,4,8,0,0,0,6856525
945,4921793,14,1,0,450,4044899,19,4,0,0,0,8199360
946,3574708,13,4,0,830,2442981,14,1,1,1,1,12585930
947,5862452,6,9,1,443,1864885,28,1,0,0,0,7710625
948,6501224,12,2,1,829,3829176,20,2,1,0,0,8415440
949,4286242,7,8,1,561,2718166,23,4,0,0,1,9757545
950,2923569,9,2,1,608,4905757,18,10,1,1,0,6571095
951,4950334,12,4,0,629,1791914,4,4,0,0,1,7476660
952,9072195,9,9,0,317,4840929,33,2,1,1,1,5046855
953,6912793,7,8,1,470,2211098,26,8,1,0,0,5797295
954,1744170,13,9,0,418,1669382,44,1,0,0,0,8948340
955,5511887,13,7,1,412,3005739,19,9,0,0,0,7798955
956,8156843,10,9,0,593,1725110,35,1,0,1,1,10120720
957,5950609,7,4,1,876,2755626,26,1,0,0,1,11634375
958,9440306,12,5,0,570,3105099,12,4,0,0,0,11791690
959,4924502,8,4,1,827,4831564,28,9,0,1,1,5688160
960,511715,7,3,1,800,2916715,4,5,0,0,0,8989220
961,9539071,8,3,1,569,4423886,31,4,1,0,0,6600295
962,8659713,8,1,1,835,3938345,28,9,1,1,0,8367260
963,8848497,14,6,0,674,4646447,8,8,1,1,1,7118230
964,4868697,14,5,1,749,2730387,17,7,0,1,0,9535260
965,4143484,9,6,1,402,652237,18,3,0,0,1,8817670
966,2497497,12,3,0,746,494722,30,3,1,1,1,9787475
967,6554730,9,3,0,736,3314471,19,7,0,0,0,9898800
968,9689419,10,8,0,412,800926,37,1,1,1,1,7386870
969,9767073,6,1,0,411,4438898,20,10,1,1,1,14575545
970,7476035,12,9,0,846,1533108,36,4,1,1,1,8113950
971,9066843,10,9,1,438,4396795,41,4,1,1,1,5279360
972,8585184,9,2,0,482,185590,12,3,1,1,0,10840500
973,6602668,10,3,0,799,4127146,25,5,1,1,1,6017390
974,3131913,6,8,1,874,4174612,9,6,1,0,0,7611710
975,2122777,13,9,0,369,843829,37,8,0,0,0,11247840
976,6998228,11,7,0,601,1643470,32,2,1,0,0,7543455
977,6160717,9,4,1,731,3748735,36,4,0,1,0,9265160
978,7410405,12,3,0,462,1849131,33,6,1,1,1,7967585
979,9114188,13,2,1,836,4599098,5,10,1,0,1,11160605
980,7169030,12,5,1,312,4293037,17,5,1,0,0,3906595
981,8936254,14,9,0,592,1589190,11,8,0,0,1,8912570
982,1755674,10,8,1,786,4887630,28,9,0,1,1,9010025
983,688790,12,5,1,576,2173656,14,5,1,1,1,7162030
984,3467076,7,7,0,823,2709687,39,8,0,0,1,8961115
985,8223689,13,7,1,333,4580249,10,1,1,0,0,8207390
986,2424869,10,9,1,805,1870522,41,3,1,1,1,7693470
987,6402458,12,3,1,439,2679704,43,3,1,0,1,11207690
988,7882398,10,8,1,673,2252912,41,1,1,0,0,13114450
989,9276860,7,8,0,593,1602770,8,9,0,0,0,11915790
990,9473232,6,1,0,663,3026415,29,10,1,1,0,8485520
991,4588014,13,1,1,655,351135,32,4,0,1,1,7963935
992,6120672,14,8,1,854,2865580,25,7,1,0,1,13865620
993,8255520,7,9,0,791,2916981,45,6,1,0,1,8532605
994,8616117,6,1,1,419,692604,13,4,0,1,0,6477290
995,1656449,13,5,1,564,2257013,33,4,1,1,0,9384515
996,9558725,10,2,0,522,3168233,29,5,0,0,1,9299470
997,8482745,10,6,0,737,2459817,20,4,0,0,0,12314370
998,2608048,11,9,1,807,2826335,13,4,0,0,1,9416270
999,9213977,13,5,1,424,2605015,40,4,0,1,1,10707275
1000,5931878,12,4,0,870,2525987,23,6,0,0,1,593651330
1001,8188173,14,5,1,598,3523316,13,1,0,1,1,610470895
1002,7099039,10,9,0,386,494963,10,7,0,1,0,302739760
1003,5599963,13,2,0,792,3744041,10,3,0,1,1,372245615
1004,883985,8,7,0,454,4253796,3,7,0,0,1,427688750
1005,4107201,11,2,1,887,3773884,30,10,1,1,0,713278985
1006,5730451,9,7,1,635,1707877,33,3,0,1,1,308963010
1007,8815840,6,3,1,781,3311947,44,7,0,1,0,495541885
1008,4756063,7,5,0,850,1693223,35,6,1,0,1,364114145
1009,4961929,8,8,1,623,2124104,40,8,0,1,0,485271150
1010,9471460,10,8,0,695,3305003,39,2,1,1,1,563516200
1011,757840,6,1,0,680,2197119,32,6,0,1,1,387143820
1012,1586460,14,7,0,445,3007234,36,7,1,1,0,210130865
1013,1155722,10,6,1,518,2318116,41,8,1,0,1,650803030
1014,5579723,14,5,0,881,524750,31,3,1,0,0,429200215
1015,7404116,13,8,1,849,2964564,40,4,0,1,1,427388355
1016,1937998,13,3,0,509,1489281,22,9,0,0,1,671275150
1017,5097055,11,4,1,840,4605271,10,2,0,1,1,544370125
1018,5861272,8,5,0,611,3258889,13,4,1,1,0,405723780
1019,8768944,13,5,1,614,3287962,28,7,0,1,0,479441005
1020,1609598,10,2,1,325,783665,42,4,0,1,1,569828510
1021,4243235,13,3,1,568,3291300,9,9,1,1,0,368705480
1022,9986567,9,6,1,315,1598444,19,4,0,0,1,670718525
1023,9792287,14,2,1,472,539759,35,9,0,1,0,254773650
1024,3195735,9,5,1,520,854056,19,8,0,0,1,486516165
1025,4448825,9,6,0,609,3425241,34,5,0,0,1,354857745
1026,8690499,10,1,1,333,2387183,37,3,1,0,1,264906415
1027,3357445,12,6,1,847,2036361,8,8,1,1,1,281922350
1028,5021342,14,7,1,658,2876968,27,6,1,0,1,855427870
1029,9708795,10,9,0,376,514695,28,1,0,0,0,293857120
1030,4970061,13,8,1,894,3375238,21,4,1,0,0,670787875
1031,5989836,13,6,0,592,3505154,19,9,0,0,0,468298285
1032,7661084,11,2,1,353,1237803,16,10,0,0,0,204283200
1033,2029716,12,2,0,678,1102215,47,1,0,1,0,441574445
1034,2674635,12,7,1,827,416335,25,1,1,0,0,429525430
1035,6101715,11,2,1,865,1134408,19,2,1,0,0,791639010
1036,8577288,6,3,0,690,449859,15,7,0,1,0,280820415
1037,6750492,6,7,0,678,1076469,36,1,0,0,1,478813570
1038,862235,8,5,1,311,4331134,43,7,0,1,1,564159695
1039,3433622,12,6,0,497,3248434,27,1,1,1,0,316995200
1040,3590991,10,6,1,540,720884,29,3,0,0,1,535230890
1041,9008689,10,2,0,488,848426,13,2,0,0,0,487651315
1042,8371346,9,1,1,822,2895356,30,9,0,1,1,453882245
1043,4596145,9,3,0,627,449732,9,3,1,0,0,484599915
1044,7278909,10,4,1,318,4194779,43,4,0,0,0,683718730
1045,699951,9,3,1,506,4189037,33,5,0,0,1,686519010
1046,5682214,7,4,1,845,3928879,26,6,1,0,0,307705950
1047,8873329,8,5,0,600,1766602,39,5,0,1,0,382628040
1048,7931391,10,8,0,830,3229806,33,8,1,0,1,728928360
1049,3273554,12,6,1,847,4296901,14,2,1,1,0,552328585
1050,7939731,7,8,1,897,3538677,43,2,1,1,0,474744915
1051,9770852,12,3,0,673,4924934,32,1,0,1,1,547555115
1052,8054522,10,2,0,449,3977333,41,2,0,1,1,422746650
1053,4826119,7,2,0,871,186159,1,3,0,1,1,646641300
1054,8789235,7,7,1,579,4072166,39,6,1,0,0,314245655
1055,9307070,12,3,1,597,1290776,49,4,0,0,0,354199285
1056,6121278,13,3,0,700,217204,10,2,0,0,0,323382335
1057,1919794,12,4,0,637,551704,16,7,0,0,0,729208680
1058,3370172,8,4,1,468,2029878,49,7,1,0,0,530312515
1059,1681238,8,5,0,681,249069,37,7,1,0,0,477026895
1060,5411188,6,5,1,357,2727120,47,6,1,1,1,400784600
1061,2320455,14,3,1,727,2935958,18,6,1,0,1,627107960
1062,5475420,14,2,0,523,2344886,42,7,1,1,0,676976815
1063,6140846,13,4,0,856,2345245,21,10,1,1,0,256750855
1064,8279398,9,3,0,472,2257746,40,9,1,0,0,472290290
1065,2639128,8,4,0,649,526079,49,4,1,0,1,579396620
1066,5633949,7,6,1,454,3385700,46,7,1,1,0,209072365
1067,9696044,11,2,0,693,1708770,46,2,0,0,0,597222855
1068,5330535,7,6,1,626,4021810,24,6,1,1,0,374104195
1069,9775521,12,5,0,436,165849,30,5,0,0,1,600412590
1070,6177751,14,1,0,735,66681,31,8,0,0,1,309175075
1071,775880,12,2,0,806,1353856,1,6,1,1,1,449567580
1072,2959479,6,2,1,338,2344021,24,5,0,0,0,281437265
1073,8977878,14,6,1,431,2898873,37,9,1,0,0,312973995
1074,3126024,14,9,1,361,425999,39,10,1,0,1,246568450
1075,8577855,9,2,1,703,3226655,41,6,1,0,0,160663145
1076,2093812,12,6,0,382,3201476,34,2,1,0,1,231804565
1077,8777883,13,1,0,851,4936317,21,9,1,0,0,438849720
1078,4596416,13,7,1,608,4774369,5,1,0,1,1,360828780
1079,5715322,11,2,0,853,453160,13,2,0,1,1,690855575
1080,6538943,6,5,0,330,3988613,14,8,0,0,1,442087635
1081,2003629,9,2,0,369,623262,6,8,1,1,0,297876500
1082,5449525,9,7,0,470,4987703,47,2,0,1,1,284661675
1083,2996031,12,4,1,660,3039773,25,10,1,0,0,584873080
1084,9167921,10,1,1,727,4313804,4,7,0,0,0,139150775
1085,2061277,14,6,1,830,1956833,29,5,1,1,1,309084190
1086,6554758,11,9,1,335,1427093,16,7,1,1,0,546627650
1087,3497662,12,4,1,653,4961894,41,5,1,1,0,280060120
1088,9646927,7,7,1,524,2037185,20,7,0,0,1,355126385
1089,7046989,7,6,0,712,1307822,38,8,1,1,1,767785165
1090,4094442,14,2,1,691,3362334,22,6,0,1,0,342045150
1091,7049762,11,5,0,777,4492109,48,6,1,0,1,556624635
1092,2960787,11,5,0,502,4678954,39,10,1,1,1,445376650
1093,9401757,10,1,0,490,174415,2,4,1,0,1,467837655
1094,2763497,12,2,1,661,1924786,40,7,0,0,1,449231780
1095,2017857,11,1,1,816,2372127,9,4,1,1,0,535053135
1096,8531367,10,8,1,560,749110,46,5,1,1,1,426343725
1097,542675,7,9,1,316,1044276,20,6,0,0,0,167652530
1098,1341956,6,9,0,338,4742175,23,2,0,0,0,430059425
1099,8546836,14,7,1,824,3644560,23,8,0,0,1,505489595
1100,5354427,6,8,1,353,1457184,27,6,0,1,0,548413595
1101,7715092,7,5,0,815,2383395,43,3,0,0,1,347472335
1102,1366082,8,6,0,422,694384,48,9,1,1,0,465257470
1103,7184386,14,7,1,513,4153685,26,5,0,0,0,516961180
1104,1402019,14,4,1,809,4309342,37,7,1,1,1,251782110
1105,2464178,7,5,0,826,1175065,11,1,0,1,0,214110460
1106,3452926,13,9,0,304,961573,29,5,0,0,0,274198220
1107,2028841,12,9,0,762,2033302,29,7,1,1,0,455230555
1108,5612476,8,3,0,342,159694,37,10,0,1,0,490916970
1109,2217660,6,7,1,389,3648853,32,6,1,0,1,203269960
1110,5456669,13,1,0,490,2384253,9,7,0,1,0,382428385
1111,4099543,13,2,0,762,1128653,13,7,0,1,1,698395015
1112,4647599,9,5,0,875,1605046,5,6,0,0,1,521778085
1113,7380973,14,5,1,653,1180493,36,9,1,0,1,325124845
1114,4049400,13,4,0,519,2604054,17,8,0,1,0,358324150
1115,9152094,8,3,0,553,2829485,14,1,0,1,0,450451975
1116,599565,10,4,0,326,567679,48,8,0,1,1,250765220
1117,8966242,14,4,0,547,3191905,34,10,1,0,0,358936255
1118,9009613,11,5,0,333,2752232,18,6,1,1,1,734633310
1119,1947277,8,5,1,420,4856621,21,7,0,1,1,426108300
1120,1811153,12,7,0,329,3427378,22,10,1,0,1,445784720
1121,8778611,12,2,0,448,1179043,8,10,1,1,1,251859125
1122,4862442,10,1,0,793,240790,32,1,1,0,1,536503280
1123,2751473,9,9,0,414,1807517,3,6,1,1,1,476334855
1124,5448559,14,2,0,534,419742,41,9,0,0,0,372584700
1125,4769288,8,6,0,455,1020664,13,10,0,0,0,429392570
1126,4477530,7,2,1,749,2342104,13,2,0,1,1,395955650
1127,7513735,11,4,0,665,4125436,3,1,0,1,0,453677115
1128,9877782,10,4,1,507,1974594,38,10,0,0,1,305776560
1129,4295839,9,2,0,540,3996988,34,5,0,0,0,561255390
1130,1957729,6,3,0,485,4949062,20,8,0,1,0,489775980
1131,7835560,11,1,0,748,4610982,21,10,1,0,0,200279150
1132,1311734,9,9,1,465,4967523,43,1,0,0,1,506548095
1133,9954107,9,8,1,514,2101602,3,3,0,1,1,168960325
1134,6530271,8,5,0,431,89692,37,1,1,0,0,287392970
1135,2776657,11,8,1,830,4153495,41,6,0,1,1,653908450
1136,2926639,9,7,0,357,1730264,48,5,1,0,1,497234390
1137,9803667,7,6,0,429,4911214,5,1,1,1,1,97137085
1138,8289170,13,7,0,657,2838659,6,3,1,0,0,407189620
1139,5565158,14,9,1,890,5890,35,4,0,0,0,139959615
1140,4061604,6,2,1,308,3180662,47,4,1,1,1,311286965
1141,7297392,6,1,0,627,1134036,9,2,1,0,1,341579775
1142,2369916,8,3,1,324,2312903,11,6,0,1,1,386563470
1143,2116482,6,3,0,588,3488080,39,5,0,0,0,520850255
1144,692457,13,1,1,826,799975,33,6,0,1,0,661563595
1145,2087844,7,2,1,585,3353695,33,9,1,0,0,185265240
1146,5668240,12,7,0,687,1066631,25,1,0,0,1,419315650
1147,5755367,10,4,1,381,108573,32,1,0,0,0,326261820
1148,4941223,14,9,0,655,384881,27,3,1,0,1,393011560
1149,3066337,13,6,1,475,1483516,45,7,1,1,0,198524230
1150,8286372,9,5,0,836,3588791,20,2,1,1,1,347484015
1151,9389165,11,6,0,517,2169130,8,8,1,1,1,572951450
1152,6341382,6,2,1,794,3006915,5,9,0,1,1,224457115
1153,8703968,9,4,1,867,382046,24,3,0,1,1,259131385
1154,5403098,10,3,0,665,4141337,33,6,1,0,1,396804640
1155,4029221,10,9,1,627,3215803,7,10,0,1,1,348143570
1156,7672383,14,1,0,822,224257,6,8,1,0,1,303915790
1157,1998915,13,9,0,889,4913470,37,4,1,0,0,405185405
1158,1549574,13,2,0,344,1193834,47,3,0,0,1,226710260
1159,3774629,11,9,1,540,1352732,45,6,1,1,1,568049135
1160,4646234,12,1,0,557,2253228,1,7,1,0,1,229413450
1161,9606870,10,8,0,814,3823682,26,6,0,0,0,210798815
1162,586432,13,5,0,397,2840876,33,5,1,0,1,592552680
1163,812319,13,3,1,868,3474765,38,3,1,0,1,362461790
1164,4541823,13,6,1,428,800911,2,6,0,0,0,543799265
1165,7439132,12,3,1,524,859232,33,5,0,0,0,292746060
1166,6003647,14,6,1,348,4740301,15,10,0,0,1,567744360
1167,7192562,8,8,1,865,2897130,44,6,0,1,0,405612090
1168,8880248,14,7,1,454,3199226,41,1,0,0,1,523115810
1169,4443802,11,8,1,880,3801545,45,3,1,1,0,681118835
1170,1252868,10,3,1,531,4363533,35,8,0,1,0,481694880
1171,1933515,12,3,1,672,1050529,38,8,0,0,0,387567950
1172,9056572,12,5,1,408,100154,17,6,0,1,1,480522865
1173,4426740,8,6,0,505,4707250,12,4,1,0,1,302852545
1174,7035311,9,5,1,455,3647113,25,10,0,0,0,352376475
1175,1144001,13,8,1,616,1376263,39,7,1,0,0,512843980
1176,5967767,11,2,0,886,2302011,19,6,0,1,1,535230160
1177,6925972,13,8,0,726,1057624,33,8,1,1,1,492428800
1178,6985566,13,5,1,598,2346766,39,3,0,0,0,236422180
1179,7421676,13,2,0,457,1340532,6,4,0,1,1,300054090
1180,8452672,8,1,0,628,3882757,25,4,0,0,0,193333565
1181,1327708,11,3,0,610,4776364,9,7,1,1,0,349193675
1182,7837497,10,9,1,823,2076541,2,5,0,0,0,509672130
1183,6477353,9,4,0,786,3405340,22,10,0,0,0,547707685
1184,4429428,6,6,0,604,1631468,16,1,1,0,0,620852955
1185,1914236,14,6,0,344,4853796,34,3,1,0,0,258544100
1186,7521205,14,8,0,713,2082848,41,10,0,0,0,786155250
1187,1690275,13,2,1,331,4467574,45,3,1,0,1,287913095
1188,3423837,10,9,1,527,1047455,4,6,0,1,0,230828920
1189,7334859,8,4,1,604,4340179,17,5,0,1,0,616644870
1190,4859423,10,6,1,607,977647,49,7,1,0,1,286554930
1191,4548914,7,9,0,431,2560288,23,3,1,0,0,655864850
1192,5947366,11,7,1,441,3246686,10,3,0,1,0,320593005
1193,2716079,8,8,0,625,512372,4,2,0,0,0,590703590
1194,4496632,6,8,1,669,3470809,14,7,1,1,0,275214015
1195,5806725,11,4,1,474,531505,45,4,0,1,1,327240750
1196,9178747,13,9,1,369,2840872,6,1,0,0,0,558951510
1197,1036794,11,2,1,319,3170451,48,5,1,0,0,426606525
1198,6666105,8,2,1,399,4929101,47,3,1,1,0,285782590
1199,9357286,6,2,1,676,4996980,3,6,1,1,1,303767965
1200,4727891,8,4,0,785,2222136,44,6,0,0,0,564000920
1201,8198244,9,2,0,624,1569815,0,5,1,1,0,451212270
1202,7705354,11,2,0,459,19310,18,3,1,1,1,415377300
1203,1237135,13,5,0,561,4674287,18,5,1,1,1,447276475
1204,2414572,11,3,1,401,2516822,23,5,0,0,0,588489865
1205,4188425,7,9,1,870,1589819,40,4,0,1,1,292995720
1206,1544209,8,4,0,741,2723701,42,4,0,0,1,451318850
1207,9679283,6,3,0,496,864614,38,8,0,0,1,514420415
1208,5201558,8,8,1,548,4591578,1,7,1,0,1,582483425
1209,5744895,11,5,0,764,2058085,35,4,1,0,1,506445895
1210,3631273,7,3,0,899,2060581,10,2,1,1,1,630878045
1211,8597021,9,6,0,503,226340,17,2,0,0,0,345771070
1212,7153645,6,8,1,841,2905286,8,9,1,1,1,605846710
1213,3906524,6,6,0,807,178025,9,3,0,0,1,538664080
1214,9563160,7,2,0,886,91415,6,6,1,1,1,487643285
1215,2199986,7,5,0,613,4093715,19,1,1,1,0,319253820
1216,8310582,13,2,1,399,63988,6,3,0,1,0,489599685
1217,7149103,10,2,0,561,83761,15,1,0,0,0,431687325
1218,4741234,11,2,1,440,2235746,24,4,1,1,1,209068350
1219,4392403,10,3,0,488,1554244,41,1,0,0,1,493465765
1220,4511912,11,3,1,508,149276,47,3,1,1,0,468694675
1221,4741683,6,6,0,712,3806525,26,5,1,0,1,352135575
1222,696753,11,9,1,814,1071468,2,1,1,1,0,199591855
1223,8820804,12,5,1,695,39435,46,3,0,1,0,242261450
1224,8304862,12,5,0,809,228285,12,1,1,1,1,475856705
1225,3441137,10,5,1,473,2148029,6,7,1,0,0,646518660
1226,7833326,8,7,1,593,1294228,40,9,0,0,1,402159920
1227,8311640,6,3,1,493,3959166,13,9,1,1,0,561377665
1228,778815,13,6,0,691,69264,22,1,1,0,0,627320390
1229,4177287,7,2,1,566,107239,19,8,0,1,0,433486775
1230,9535292,13,6,1,421,3120780,5,5,1,1,1,440595880
1231,841844,6,6,1,880,1203432,33,10,0,1,0,655608255
1232,9308595,12,9,1,702,1072222,42,8,1,1,0,366250855
1233,3623582,8,6,0,476,1167504,24,4,0,1,1,481951475
1234,3581009,14,3,1,519,3915716,16,8,1,0,1,665473475
1235,1130598,12,7,1,316,4339755,6,10,1,0,1,542957210
1236,7715136,6,8,1,504,3230767,32,10,1,1,1,496740910
1237,9726148,8,5,0,520,4929701,9,10,0,0,1,557263750
1238,5823278,11,4,0,410,871519,47,7,0,1,0,531287430
1239,6233553,6,2,1,522,1989471,41,8,0,1,0,517721475
1240,7210072,8,1,0,369,2220726,45,5,1,1,0,359314395
1241,4878413,8,9,1,751,4678889,14,9,1,1,0,468698325
1242,9856233,10,1,0,694,649335,40,10,0,0,1,449171920
1243,3039658,13,9,1,607,4652971,20,2,1,0,1,691143925
1244,7648169,12,9,0,559,1790635,43,4,1,0,0,312832375
1245,9818250,13,3,0,673,774037,47,4,1,1,1,688612650
1246,6059350,7,7,0,502,3816811,7,2,1,0,0,202903500
1247,3699962,7,1,0,775,1910985,33,2,0,0,1,334284885
1248,7530923,9,6,0,383,3719923,21,10,0,0,1,268237040
1249,1940191,9,1,1,731,1972335,5,5,1,0,1,404412700
1250,804257,13,9,0,328,54319,22,6,0,0,1,459818240
1251,7417133,11,8,1,668,4686651,32,5,1,1,0,578253805
1252,3540324,13,3,1,657,4716760,21,10,0,0,1,396847345
1253,8550779,11,4,0,615,1734483,31,10,1,1,1,204266045
1254,3953634,14,7,1,728,4705967,45,3,1,1,0,504619800
1255,6803965,7,2,1,848,4689141,2,7,1,1,1,295105785
1256,8177013,13,7,0,439,2538342,25,7,0,0,0,494090645
1257,2406190,11,6,1,614,319241,46,3,0,1,1,214610875
1258,3632571,12,7,0,793,3672210,37,8,0,0,0,308263305
1259,7201919,11,2,1,439,3981701,11,5,0,0,0,372627770
1260,2085678,6,6,0,809,1294190,30,5,0,0,1,505214385
1261,4246361,9,7,0,454,2847584,45,1,0,1,1,442991010
1262,723959,13,3,1,617,589920,31,1,0,0,0,329192040
1263,2403973,11,4,1,648,3196393,8,9,0,0,0,594324390
1264,1392250,12,9,1,639,3121172,6,10,0,0,1,479801990
1265,7819159,7,6,1,576,2785337,7,6,0,0,1,303839505
1266,7008961,10,7,0,582,4269208,35,5,1,1,1,583838670
1267,1822926,7,9,0,561,1788224,22,10,0,0,1,371602120
1268,4314402,7,5,0,561,3500873,31,6,1,1,1,545170205
1269,7871185,12,9,1,684,621591,3,3,1,0,1,210042170
1270,8535323,9,3,1,480,202511,12,9,0,0,0,573969435
1271,3584531,13,8,0,467,1777041,30,2,0,1,1,471442760
1272,5040848,14,8,0,429,651353,24,9,0,1,1,521877365
1273,685762,6,8,1,734,2440194,26,5,1,1,1,435262135
1274,5657881,6,8,0,335,749519,37,9,1,0,1,596538845
1275,1554290,7,9,1,590,2573222,40,3,1,1,0,243725100
1276,3953642,14,5,1,679,2169138,9,8,1,1,0,531367000
1277,3922313,10,2,0,445,2390009,32,7,0,0,0,640619165
1278,2585002,9,4,1,721,4583482,7,6,1,0,1,722129870
1279,8388995,11,8,0,515,677367,5,9,1,0,1,112510155
1280,8251371,7,3,0,317,401920,45,6,1,0,0,312706085
1281,4621868,8,5,0,477,2683163,35,9,1,0,1,211068915
1282,1979729,13,1,1,592,2684525,34,4,1,1,0,253616235
1283,2073120,9,4,0,319,818040,16,7,0,0,0,425252375
1284,4709615,6,2,1,585,796347,45,5,1,1,0,548689170
1285,2760759,11,5,0,867,537375,40,9,0,0,1,389711230
1286,2303809,8,4,1,868,4846517,45,2,1,1,0,251210155
1287,537501,12,4,1,884,1288030,48,5,1,0,1,272023185
1288,852306,7,7,0,803,4711493,34,9,1,1,1,514199955
1289,4153797,11,1,1,624,3559661,9,5,0,0,0,429109695
1290,9444474,12,9,1,884,1622722,6,3,0,0,1,526496805
1291,8987920,10,4,0,373,3683058,24,9,0,0,0,440499520
1292,1010987,6,7,1,536,1080000,47,8,0,1,0,269369635
1293,9625945,9,1,1,521,3117670,21,5,0,1,1,299746760
1294,4992141,12,8,0,424,3529761,1,9,0,0,0,349871115
1295,9094154,13,3,0,839,3027142,0,7,0,1,1,477328750
1296,9616701,10,5,0,484,4161442,35,3,0,1,1,387350410
1297,1821169,10,4,1,783,4190011,19,8,0,0,1,182769005
1298,5285589,9,9,1,360,4786741,1,5,0,1,1,527235200
1299,4246817,8,9,1,337,4560133,23,3,0,0,0,275739615
1300,6006181,14,7,0,879,1201478,6,9,0,0,1,609581390
1301,3542764,9,1,1,549,313052,31,1,1,0,1,535684950
